userid,avg
1,4.045454545
2,3.235294118
3,3.125
4,3.652173913
5,4.2
6,3.5
7,3.5
8,3.019230769
9,3.982142857
10,4.230769231
11,3.301470588
12,3.801470588
13,3.25
14,2.5
15,3.860759494
16,4.518518519
17,3.75
18,5
19,2.166666667
20,3.941860465
21,4.5
22,2.880952381
23,3.666666667
24,3.496503497
25,3.333333333
26,4
27,3.695121951
28,3.75
29,3.555555556
30,4.081632653
31,4.333333333
32,3.647058824
33,4.135135135
34,3.76635514
35,4.047619048
36,2.4
37,3.350649351
38,3.65
39,1.5
40,3.466666667
41,4.321428571
42,4.25
43,3.291304348
44,4.058823529
46,3.269354839
47,3.929292929
48,3.846153846
49,4.132947977
50,3.5625
51,4.952380952
52,3.545454545
53,4.425
54,4.315789474
55,4.404255319
56,3.816326531
57,5
58,3.414634146
59,2.638888889
60,2.945652174
61,3.363636364
62,3.770949721
63,3.276923077
64,3.666666667
65,3.723529412
66,2.555555556
67,3.516666667
68,3.887850467
69,3.923076923
70,3.666666667
71,3
72,4.25
73,4.4
74,3.421052632
75,3.616666667
76,3.292682927
77,4.35
78,2.818181818
79,2.992537313
80,3.818181818
81,4.25
82,3.81372549
83,3.71875
84,3.629032258
85,2.666666667
86,3.625
87,3.6875
88,3.75
89,4.382978723
90,2.15
91,3.826923077
92,3.5
93,3.266666667
94,4.133333333
95,4.3125
96,3.75
97,3.729166667
98,3.013513514
99,3.666666667
100,3.25
101,3.1875
102,2.964285714
103,3.372093023
104,3.6
105,4.22
106,3.568181818
107,3.666666667
108,4.5
109,3.625
110,4.875
111,4
112,3.166666667
113,4.75
114,3.8
115,3.803921569
116,2.142857143
117,3.304347826
118,4
119,3.75862069
120,3.470338983
121,5
122,3.888888889
123,4.214285714
124,3.333333333
125,3.589622642
126,4.361111111
127,3.411764706
128,5
129,4.161290323
130,3.75
131,3.446153846
132,3.484126984
133,3.826086957
134,4
135,3.333333333
136,3.260869565
137,2.888888889
138,4.166666667
139,3.2
140,2.535714286
141,4.25
142,3
143,3.666666667
144,3.3125
145,3
146,4.363636364
147,3.525
148,3.95
149,3.5
150,3.135220126
151,2.875968992
152,3.5
153,3.4
154,3.5
155,3.833333333
156,4
157,2.163934426
158,3.915492958
159,3.5
160,3.680672269
161,2.964285714
162,3.592592593
163,3.166666667
164,3.5625
165,3.75
166,3.273809524
167,3.318181818
168,2.916666667
169,4.125
170,3.541666667
171,4.055555556
172,2.333333333
173,3.807692308
174,3.835443038
175,3.4
176,3.184210526
177,2.5
178,4.111111111
179,3.789473684
180,3.75
181,3.395348837
182,3
183,3.5
184,4.272727273
185,2.882352941
186,3.8
187,3.631578947
188,3.782608696
189,3.625
190,3.8
191,3.43030303
192,3.892857143
193,3.645631068
194,3.111111111
195,4.25
196,3.647058824
197,1
198,3.088235294
199,3.4
200,3.75
201,3.736363636
202,2.916666667
203,3
204,2.875
205,3.333333333
206,5
207,4.090909091
208,3.4
209,4.545454545
210,2.8
211,3.637931034
212,3.285714286
213,3
214,5
215,3.891304348
216,1.214285714
217,3.207317073
218,4.268292683
219,2.7
220,3.833333333
221,3.888888889
222,3.353658537
223,2.681818182
224,3.346153846
225,4.138461538
226,3.666666667
227,3.78125
228,4.115384615
229,2.901433692
230,3.185714286
231,3.165816327
232,3.3
233,2.875
234,3.788135593
235,3.745454545
236,4.091954023
237,4.125
238,5
239,4
240,3.111111111
241,4.2
242,4.090909091
243,3.5
244,4.071428571
245,4.391304348
246,3.375
247,4.239130435
248,3.666666667
249,3.611111111
250,3.847222222
251,2.766536965
252,4.066666667
253,3.571428571
254,4.466666667
255,3.654411765
256,3.5625
257,3.5
258,5
259,1.65
260,4.833333333
261,3.305555556
262,4
263,3.2
264,1.722222222
265,3.325
266,4.05
267,3.807692308
268,5
269,3.710526316
270,4.1
271,3.253807107
272,3.666666667
273,4.403225806
274,3.538461538
275,2.833333333
276,3.642857143
277,3.35
278,2.4
279,3.58
280,4.470588235
281,4
282,4.4
283,4.5
284,4.590909091
285,4.2
286,3.8
287,3.818181818
288,3.777777778
289,3.88
290,2.8125
291,3.888888889
292,4.2
293,3.9375
294,3.87244898
295,3.5
296,3.608695652
297,1.4375
298,3.681818182
299,3.333333333
