userid,num,,Bins,,Bins,Frequency
270896,3593,,10,,10,99208
270895,3023,,50,,50,106334
270894,2577,,100,,100,31609
270893,2101,,300,,300,24174
270892,2039,,1000,,1000,4492
270891,1973,,,,More,100
270890,1892,,,,,
270889,1871,,,,,
270888,1836,,,,,
270887,1821,,,,,
270886,1796,,,,,
270885,1666,,,,,
270884,1629,,,,,
270883,1613,,,,,
270882,1581,,,,,
270881,1537,,,,,
270880,1530,,,,,
270879,1522,,,,,
270878,1512,,,,,
270877,1508,,,,,
270876,1468,,,,,
270875,1467,,,,,
270874,1419,,,,,
270873,1414,,,,,
270872,1396,,,,,
270871,1347,,,,,
270870,1345,,,,,
270869,1343,,,,,
270868,1335,,,,,
270867,1327,,,,,
270866,1321,,,,,
270865,1315,,,,,
270864,1311,,,,,
270863,1308,,,,,
270862,1304,,,,,
270861,1295,,,,,
270860,1286,,,,,
270859,1281,,,,,
270858,1281,,,,,
270857,1281,,,,,
270856,1251,,,,,
270855,1244,,,,,
270854,1242,,,,,
270852,1231,,,,,
270851,1220,,,,,
270850,1210,,,,,
270849,1194,,,,,
270848,1191,,,,,
270847,1182,,,,,
270846,1167,,,,,
270845,1151,,,,,
270844,1145,,,,,
270843,1142,,,,,
270842,1140,,,,,
270841,1139,,,,,
270840,1133,,,,,
270839,1125,,,,,
270837,1119,,,,,
270836,1114,,,,,
270835,1107,,,,,
270834,1104,,,,,
270833,1102,,,,,
270832,1098,,,,,
270831,1095,,,,,
270830,1095,,,,,
270829,1093,,,,,
270828,1093,,,,,
270827,1091,,,,,
270825,1090,,,,,
270824,1082,,,,,
270823,1079,,,,,
270822,1078,,,,,
270821,1076,,,,,
270820,1071,,,,,
270819,1071,,,,,
270818,1070,,,,,
270817,1069,,,,,
270816,1067,,,,,
270815,1067,,,,,
270814,1067,,,,,
270813,1060,,,,,
270812,1060,,,,,
270811,1058,,,,,
270810,1057,,,,,
270809,1045,,,,,
270808,1043,,,,,
270807,1033,,,,,
270806,1028,,,,,
270805,1025,,,,,
270804,1025,,,,,
270803,1024,,,,,
270802,1022,,,,,
270801,1021,,,,,
270800,1012,,,,,
270799,1010,,,,,
270798,1008,,,,,
270797,1007,,,,,
270796,1006,,,,,
270795,1004,,,,,
270794,1004,,,,,
270793,999,,,,,
270792,997,,,,,
270791,997,,,,,
270790,997,,,,,
270789,996,,,,,
270788,996,,,,,
270787,994,,,,,
270786,993,,,,,
270785,991,,,,,
270784,987,,,,,
270782,986,,,,,
270781,986,,,,,
270780,978,,,,,
270779,978,,,,,
270778,976,,,,,
270777,975,,,,,
270776,975,,,,,
270775,974,,,,,
270773,974,,,,,
270771,970,,,,,
270770,966,,,,,
270769,961,,,,,
270768,961,,,,,
270766,960,,,,,
270765,956,,,,,
270764,953,,,,,
270763,953,,,,,
270762,951,,,,,
270761,945,,,,,
270760,944,,,,,
270759,941,,,,,
270758,940,,,,,
270757,939,,,,,
270756,939,,,,,
270755,938,,,,,
270754,938,,,,,
270753,934,,,,,
270752,928,,,,,
270751,928,,,,,
270750,925,,,,,
270749,925,,,,,
270748,922,,,,,
270747,917,,,,,
270746,916,,,,,
270745,914,,,,,
270744,913,,,,,
270743,911,,,,,
270742,908,,,,,
270741,907,,,,,
270740,907,,,,,
270739,907,,,,,
270738,905,,,,,
270737,902,,,,,
270736,901,,,,,
270735,901,,,,,
270734,900,,,,,
270733,898,,,,,
270732,898,,,,,
270731,898,,,,,
270730,896,,,,,
270729,896,,,,,
270727,894,,,,,
270726,892,,,,,
270725,891,,,,,
270724,889,,,,,
270723,889,,,,,
270722,889,,,,,
270721,887,,,,,
270720,885,,,,,
270719,878,,,,,
270718,878,,,,,
270716,876,,,,,
270715,874,,,,,
270714,874,,,,,
270713,872,,,,,
270712,870,,,,,
270711,870,,,,,
270710,868,,,,,
270709,867,,,,,
270708,867,,,,,
270707,864,,,,,
270706,863,,,,,
270705,862,,,,,
270704,862,,,,,
270703,861,,,,,
270702,861,,,,,
270701,861,,,,,
270700,860,,,,,
270699,858,,,,,
270698,858,,,,,
270697,856,,,,,
270696,855,,,,,
270695,853,,,,,
270694,851,,,,,
270693,850,,,,,
270692,847,,,,,
270691,847,,,,,
270690,846,,,,,
270689,845,,,,,
270688,844,,,,,
270687,844,,,,,
270686,842,,,,,
270685,840,,,,,
270684,840,,,,,
270683,840,,,,,
270682,840,,,,,
270681,840,,,,,
270680,839,,,,,
270679,839,,,,,
270678,837,,,,,
270677,836,,,,,
270676,836,,,,,
270675,835,,,,,
270674,835,,,,,
270673,835,,,,,
270672,833,,,,,
270671,832,,,,,
270670,830,,,,,
270669,830,,,,,
270668,829,,,,,
270667,829,,,,,
270666,827,,,,,
270665,827,,,,,
270664,825,,,,,
270663,825,,,,,
270662,825,,,,,
270661,823,,,,,
270660,821,,,,,
270659,820,,,,,
270658,820,,,,,
270657,820,,,,,
270656,819,,,,,
270655,818,,,,,
270654,817,,,,,
270653,817,,,,,
270652,816,,,,,
270651,816,,,,,
270650,814,,,,,
270649,812,,,,,
270648,811,,,,,
270647,810,,,,,
270646,809,,,,,
270645,809,,,,,
270644,807,,,,,
270643,806,,,,,
270642,806,,,,,
270641,806,,,,,
270640,806,,,,,
270639,805,,,,,
270637,804,,,,,
270636,803,,,,,
270635,803,,,,,
270634,803,,,,,
270633,802,,,,,
270632,801,,,,,
270631,800,,,,,
270629,799,,,,,
270628,799,,,,,
270627,797,,,,,
270626,796,,,,,
270625,791,,,,,
270624,791,,,,,
270623,790,,,,,
270622,790,,,,,
270621,789,,,,,
270620,788,,,,,
270619,788,,,,,
270617,788,,,,,
270616,785,,,,,
270615,785,,,,,
270614,785,,,,,
270613,781,,,,,
270612,780,,,,,
270611,780,,,,,
270610,779,,,,,
270609,778,,,,,
270607,774,,,,,
270606,774,,,,,
270605,774,,,,,
270604,774,,,,,
270603,774,,,,,
270602,774,,,,,
270601,773,,,,,
270600,772,,,,,
270599,771,,,,,
270598,770,,,,,
270597,770,,,,,
270596,770,,,,,
270595,770,,,,,
270594,769,,,,,
270593,767,,,,,
270592,766,,,,,
270591,763,,,,,
270590,763,,,,,
270589,761,,,,,
270588,761,,,,,
270587,760,,,,,
270586,759,,,,,
270585,758,,,,,
270584,756,,,,,
270583,754,,,,,
270582,753,,,,,
270581,752,,,,,
270580,752,,,,,
270579,751,,,,,
270578,751,,,,,
270577,751,,,,,
270576,750,,,,,
270575,750,,,,,
270574,749,,,,,
270573,749,,,,,
270572,749,,,,,
270571,749,,,,,
270570,748,,,,,
270569,747,,,,,
270568,747,,,,,
270567,747,,,,,
270566,746,,,,,
270565,745,,,,,
270564,745,,,,,
270563,744,,,,,
270562,744,,,,,
270561,744,,,,,
270560,743,,,,,
270559,742,,,,,
270558,741,,,,,
270557,741,,,,,
270556,741,,,,,
270555,741,,,,,
270554,741,,,,,
270553,740,,,,,
270552,740,,,,,
270551,738,,,,,
270550,737,,,,,
270549,737,,,,,
270548,737,,,,,
270547,736,,,,,
270546,735,,,,,
270545,734,,,,,
270544,732,,,,,
270543,732,,,,,
270542,732,,,,,
270541,731,,,,,
270540,731,,,,,
270539,731,,,,,
270538,731,,,,,
270537,728,,,,,
270536,727,,,,,
270535,725,,,,,
270534,724,,,,,
270532,723,,,,,
270531,722,,,,,
270530,721,,,,,
